student_id,name,year_group,maths,english,science
S001,Amara Osei,8,73.5,66.0,77.1
S002,Ben Carter,11,44.9,61.4,71.3
S003,Chloe Davies,10,64.9,66.1,71.9
S004,Daniel Mwangi,9,34.6,41.1,46.4
S005,Esi Asante,7,43.4,62.4,81.0
S006,Finn Murphy,7,64.8,69.3,39.0
S007,Grace Liu,7,72.3,82.7,68.8
S008,Hassan Ali,11,64.4,58.8,92.9
S009,Isla Thompson,9,60.4,55.3,45.1
S010,James Okafor,10,57.8,59.0,51.5
S011,Kemi Adeyemi,7,41.3,76.0,61.5
S012,Liam Foster,11,51.9,68.9,52.4
S013,Maya Patel,10,55.6,58.6,36.7
S014,Noah Williams,7,76.8,71.2,61.0
S015,Olivia Chen,7,66.8,66.2,44.1
S016,Peter Kimani,7,37.3,76.6,67.1
S017,Quinn Taylor,8,66.5,56.6,46.2
S018,Rania Hassan,9,56.6,61.1,83.2
S019,Sam Brooks,8,52.5,60.3,48.3
S020,Tolu Adebayo,8,70.6,47.4,55.2
S021,Uma Singh,9,76.4,68.6,72.2
S022,Victor Nwosu,7,75.0,68.1,41.5
S023,Wren Hughes,8,50.3,65.1,63.4
S024,Xander Boateng,8,57.7,62.2,79.6
S025,Yemi Bello,9,66.6,48.0,35.9
S026,Zara Ahmed,10,75.7,60.0,62.8
S027,Aaron Scott,7,55.3,60.9,63.9
S028,Bella Marino,9,59.4,55.4,71.7
S029,Carlos Diaz,9,46.5,63.1,41.4
S030,Demi Owusu,7,45.3,69.8,40.2
S031,Ethan Brown,9,73.4,87.6,67.8
S032,Fatima Al-Amin,7,81.0,67.1,64.5
S033,George Papadopoulos,7,61.0,68.1,63.8
S034,Hannah Kim,11,76.0,64.1,65.2
S035,Ivan Petrov,11,67.1,42.0,49.8
S036,Jade Mensah,10,53.0,64.7,63.5
S037,Kofi Asare,8,67.1,65.7,64.4
S038,Leila Nazari,7,83.5,94.6,49.3
S039,Marco Rossi,10,61.5,62.7,88.0
S040,Nia Osei,9,83.9,68.6,67.1
S041,Oscar Dahl,7,25.3,64.6,42.1
S042,Priya Sharma,9,73.5,51.0,69.8
