student_id,first_name,last_name,year_group,gender,house,tutor_group,entry_year,pupil_premium,sen_support,form_tutor_id
S001,Amelia,Smith,7,M,Attenborough,7A,2023,N,None,T03
S002,Noah,Johnson,7,F,Churchill,7B,2023,N,None,T03
S003,Olivia,Williams,7,M,Darwin,7C,2023,N,None,T03
S004,Liam,Brown,7,F,Newton,7D,2023,N,Dyslexia,T03
S005,Isla,Taylor,7,M,Attenborough,7A,2023,Y,None,T03
S006,Oliver,Davies,7,F,Churchill,7B,2023,N,ADHD,T03
S007,Emily,Wilson,8,M,Darwin,8C,2022,N,None,T10
S008,Ethan,Evans,8,F,Newton,8D,2022,N,None,T10
S009,Charlotte,Thomas,8,M,Attenborough,8A,2022,Y,None,T10
S010,Harry,Roberts,8,M,Churchill,8B,2022,N,None,T10
S011,Sophia,Jones,8,F,Darwin,8C,2022,N,None,T10
S012,George,Hughes,8,F,Newton,8D,2022,N,None,T10
S013,Mia,Lewis,9,M,Attenborough,9A,2021,N,EAL,T07
S014,Jack,Walker,9,F,Churchill,9B,2021,Y,None,T07
S015,Grace,Clarke,9,F,Darwin,9C,2021,N,None,T07
S016,Leo,Robinson,9,M,Newton,9D,2021,N,None,T07
S017,Evelyn,Patel,9,F,Attenborough,9A,2021,N,Dyslexia,T07
S018,Freddie,Khan,9,M,Churchill,9B,2021,N,None,T07
S019,Ava,Martin,10,F,Darwin,10C,2020,N,None,T08
S020,Theo,White,10,M,Newton,10D,2020,Y,None,T08
S021,Chloe,Thompson,10,F,Attenborough,10A,2020,N,None,T08
S022,Oscar,Harris,10,M,Churchill,10B,2020,N,ADHD,T08
S023,Lily,Lee,10,F,Darwin,10C,2020,N,None,T08
S024,Finn,Turner,10,F,Newton,10D,2020,N,None,T08
S025,Poppy,Jackson,11,M,Attenborough,11A,2019,N,None,T12
S026,Reuben,Scott,11,M,Churchill,11B,2019,Y,None,T12
S027,Jasmine,Baker,11,F,Darwin,11C,2019,N,None,T12
S028,Archie,Hill,11,M,Newton,11D,2019,N,EAL,T12
S029,Ruby,Green,11,F,Attenborough,11A,2019,N,None,T12
S030,Muhammad,Adams,11,M,Churchill,11B,2019,N,None,T12
